,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,id
0,-88,-69,-89,-54,-67,-73,-68,-85,-92,-91,0
1,-92,-67,-89,-62,-64,-84,-60,-85,-89,-93,0
2,-88,-74,-91,-52,-66,-80,-63,-85,-89,-93,0
3,-92,-87,-89,-53,-58,-82,-64,-85,-89,-93,0
4,-92,-76,-89,-55,-60,-82,-62,-85,-95,-94,0
5,-91,-79,-89,-52,-62,-83,-62,-85,-89,-93,0
6,-92,-74,-89,-53,-63,-79,-63,-85,-89,-93,0
7,-92,-76,-89,-53,-63,-82,-64,-85,-89,-91,0
8,-88,-76,-89,-53,-63,-82,-64,-85,-91,-93,0
9,-92,-77,-89,-53,-62,-82,-64,-85,-89,-93,0
10,-92,-74,-89,-51,-64,-82,-64,-87,-89,-93,0
11,-92,-75,-89,-51,-62,-84,-63,-85,-89,-94,0
12,-92,-77,-93,-54,-63,-82,-63,-85,-91,-93,0
13,-92,-77,-89,-55,-64,-82,-65,-82,-89,-93,0
14,-94,-77,-89,-55,-64,-82,-62,-91,-89,-93,0
15,-92,-77,-89,-56,-65,-82,-62,-85,-89,-93,0
16,-92,-77,-89,-55,-62,-82,-62,-90,-89,-93,0
17,-92,-77,-89,-55,-64,-82,-62,-86,-88,-93,0
18,-92,-77,-89,-53,-61,-82,-62,-85,-89,-92,0
19,-92,-77,-89,-53,-63,-82,-62,-85,-89,-93,0
20,-92,-77,-89,-53,-62,-82,-62,-85,-89,-93,0
21,-90,-77,-89,-48,-62,-82,-62,-90,-94,-93,0
22,-92,-77,-89,-55,-62,-82,-62,-86,-90,-93,0
23,-92,-77,-89,-54,-62,-82,-62,-89,-89,-93,0
24,-92,-77,-89,-53,-63,-82,-62,-85,-90,-87,0
25,-92,-77,-89,-53,-62,-82,-62,-85,-89,-93,0
26,-92,-77,-89,-52,-62,-82,-62,-88,-89,-93,0
27,-92,-77,-89,-50,-63,-82,-62,-87,-90,-93,0
28,-92,-77,-89,-56,-64,-82,-62,-85,-91,-93,0
29,-88,-77,-89,-52,-60,-82,-62,-85,-89,-93,0
30,-92,-77,-89,-52,-60,-82,-62,-85,-86,-93,0
31,-92,-77,-93,-53,-60,-82,-62,-85,-89,-93,0
32,-92,-77,-89,-55,-61,-82,-62,-89,-89,-93,0
33,-92,-77,-89,-52,-61,-82,-62,-88,-89,-91,0
34,-89,-77,-89,-53,-62,-82,-62,-89,-89,-93,0
35,-92,-77,-89,-55,-61,-82,-62,-88,-89,-93,0
36,-92,-77,-89,-54,-61,-82,-62,-85,-89,-93,0
37,-92,-77,-89,-53,-62,-82,-62,-89,-89,-93,0
38,-92,-77,-89,-55,-64,-82,-62,-85,-89,-93,0
39,-92,-77,-89,-51,-62,-82,-62,-88,-88,-93,0
40,-92,-77,-90,-50,-64,-82,-62,-85,-89,-93,0
41,-92,-77,-88,-52,-63,-82,-62,-85,-86,-93,0
42,-92,-77,-89,-54,-63,-82,-62,-85,-89,-93,0
43,-92,-77,-89,-51,-63,-82,-62,-87,-94,-93,0
44,-92,-77,-89,-53,-64,-82,-62,-88,-89,-93,0
45,-92,-77,-89,-53,-61,-82,-62,-85,-89,-93,0
46,-92,-77,-89,-52,-60,-82,-62,-84,-89,-93,0
47,-92,-77,-92,-64,-63,-82,-62,-86,-91,-94,0
48,-92,-77,-89,-53,-63,-82,-62,-85,-90,-93,0
49,-92,-77,-89,-55,-62,-82,-62,-85,-91,-92,0
50,-92,-77,-89,-54,-65,-82,-62,-87,-90,-93,0
51,-92,-77,-89,-55,-65,-82,-62,-82,-89,-93,0
52,-92,-77,-89,-54,-61,-82,-62,-88,-89,-93,0
53,-92,-77,-89,-54,-64,-82,-62,-85,-91,-93,0
54,-92,-77,-91,-55,-61,-82,-62,-85,-89,-93,0
55,-92,-77,-93,-53,-62,-82,-62,-89,-89,-93,0
56,-92,-77,-90,-49,-63,-82,-62,-89,-89,-93,0
57,-92,-77,-95,-53,-64,-82,-62,-86,-89,-93,0
58,-92,-77,-89,-53,-63,-82,-62,-89,-89,-93,0
59,-92,-77,-89,-54,-63,-82,-62,-88,-91,-87,0
60,-92,-77,-89,-53,-60,-82,-62,-87,-89,-93,0
61,-92,-77,-89,-55,-59,-82,-62,-88,-89,-93,0
62,-92,-77,-89,-53,-58,-82,-62,-89,-89,-93,0
63,-92,-77,-89,-55,-62,-82,-62,-91,-89,-93,0
64,-92,-77,-93,-53,-62,-82,-62,-85,-89,-93,0
65,-92,-77,-89,-57,-62,-82,-62,-88,-90,-93,0
66,-92,-77,-89,-58,-61,-82,-62,-92,-89,-93,0
