,UoM_Wireless1,UoM_Wireless6,Chamidi11,IsuruAp6,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
0,-91.0,-100.0,-70.0,-49.0,-84.0,-69.0,-84.0,-59.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-89.0,2.0
1,-82.0,-100.0,-71.0,-51.0,-84.0,-63.0,-84.0,-59.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
2,-89.0,-100.0,-70.0,-50.0,-84.0,-64.0,-83.0,-60.0,-100.0,-81.0,-100.0,-100.0,-100.0,-100.0,-85.0,2.0
3,-83.0,-100.0,-79.0,-48.0,-84.0,-64.0,-82.0,-55.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
4,-88.0,-100.0,-72.0,-49.0,-88.0,-61.0,-87.0,-58.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-86.0,2.0
5,-82.0,-100.0,-72.0,-48.0,-81.0,-65.0,-83.0,-64.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
6,-84.0,-100.0,-73.0,-46.0,-85.0,-62.0,-86.0,-57.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
7,-79.0,-100.0,-77.0,-47.0,-79.0,-53.0,-78.0,-59.0,-100.0,-79.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
8,-83.0,-100.0,-74.0,-47.0,-83.0,-59.0,-82.0,-58.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
9,-86.0,-100.0,-71.0,-49.0,-83.0,-55.0,-85.0,-60.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
10,-83.0,-100.0,-71.0,-47.0,-84.0,-56.0,-85.0,-63.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
11,-83.0,-100.0,-77.0,-49.0,-84.0,-55.0,-84.0,-63.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-83.0,2.0
12,-91.0,-100.0,-70.0,-48.0,-87.0,-51.0,-87.0,-61.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-85.0,2.0
13,-82.0,-100.0,-70.0,-48.0,-80.0,-53.0,-82.0,-64.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
14,-79.0,-100.0,-72.0,-49.0,-85.0,-53.0,-82.0,-61.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
