Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
-100,-78,-100,-54,-63,-100,-59,-100,-90,-100,-100,-100,0
-100,-72,-100,-55,-64,-100,-60,-100,-100,-100,-100,-100,0
-100,-71,-100,-57,-65,-100,-59,-87,-100,-100,-100,-100,0
-100,-70,-100,-57,-63,-100,-61,-100,-100,-100,-100,-100,0
-100,-70,-100,-52,-62,-100,-59,-100,-92,-100,-100,-100,0
-100,-71,-100,-52,-63,-100,-58,-88,-89,-100,-100,-100,0
-100,-69,-84,-53,-63,-100,-57,-86,-92,-92,-100,-100,0
-100,-73,-100,-54,-63,-100,-100,-100,-100,-100,-100,-100,0
-100,-71,-100,-52,-63,-100,-59,-85,-91,-100,-80,-100,0
-100,-71,-100,-52,-63,-100,-58,-100,-89,-100,-100,-100,0
-100,-73,-100,-53,-64,-100,-58,-100,-92,-100,-100,-100,0
-100,-71,-100,-55,-62,-100,-60,-100,-92,-100,-100,-100,0
-100,-71,-100,-54,-64,-100,-60,-87,-100,-100,-100,-100,0
-100,-70,-100,-55,-65,-100,-60,-90,-100,-100,-100,-100,0
-100,-71,-100,-52,-62,-100,-60,-88,-100,-100,-100,-100,0
-100,-71,-100,-56,-64,-100,-60,-89,-100,-100,-100,-100,0
-100,-71,-100,-52,-64,-100,-59,-100,-100,-100,-100,-100,0
-100,-71,-100,-53,-64,-100,-59,-100,-91,-100,-100,-100,0
-100,-71,-100,-54,-65,-100,-60,-100,-93,-94,-100,-100,0
-100,-72,-100,-53,-64,-100,-61,-100,-100,-100,-100,-100,0
-100,-73,-100,-52,-64,-100,-61,-90,-100,-100,-100,-100,0
-100,-71,-100,-53,-63,-100,-61,-88,-94,-100,-100,-100,0
-100,-71,-100,-54,-64,-100,-60,-89,-93,-100,-100,-100,0
-100,-70,-100,-53,-60,-100,-59,-100,-88,-100,-100,-100,0
-100,-70,-100,-52,-64,-100,-58,-100,-100,-100,-100,-100,0
-100,-70,-100,-51,-68,-100,-62,-87,-100,-100,-100,-100,0
-100,-70,-92,-54,-59,-100,-58,-100,-100,-100,-100,-100,0
-100,-68,-87,-51,-100,-100,-57,-87,-89,-85,-100,-100,0
-100,-72,-89,-51,-100,-100,-59,-100,-94,-100,-93,-100,0
-100,-71,-100,-52,-100,-100,-59,-100,-100,-100,-92,-100,0
-100,-72,-100,-55,-100,-100,-59,-89,-90,-100,-100,-100,0
-100,-70,-100,-52,-100,-100,-57,-100,-100,-100,-100,-100,0
-100,-73,-100,-52,-100,-100,-61,-88,-93,-100,-100,-100,0
-100,-72,-100,-57,-100,-100,-62,-88,-92,-100,-100,-100,0
-100,-72,-100,-53,-100,-100,-59,-100,-100,-100,-100,-100,0
-100,-70,-100,-54,-100,-100,-58,-84,-90,-93,-100,-100,0
-100,-69,-100,-53,-100,-100,-59,-100,-89,-100,-90,-100,0
-100,-72,-100,-56,-100,-100,-60,-100,-92,-100,-100,-100,0
-100,-72,-100,-54,-100,-100,-62,-100,-100,-100,-100,-100,0
-100,-72,-100,-52,-100,-100,-59,-100,-100,-100,-100,-100,0
-100,-85,-100,-51,-100,-100,-58,-85,-88,-100,-100,-100,0
-100,-69,-100,-51,-100,-100,-57,-85,-89,-100,-100,-100,0
-100,-70,-100,-51,-100,-100,-57,-86,-100,-100,-100,-100,0
-100,-70,-100,-54,-100,-100,-58,-100,-100,-92,-100,-100,0
-100,-72,-100,-54,-100,-100,-60,-100,-100,-100,-100,-100,0
-100,-72,-100,-55,-100,-100,-62,-100,-100,-100,-100,-100,0
-100,-70,-100,-52,-100,-100,-58,-87,-100,-100,-100,-100,0
-100,-71,-95,-54,-100,-100,-58,-100,-100,-100,-92,-100,0
-100,-71,-100,-54,-100,-100,-59,-88,-100,-100,-100,-100,0
-100,-71,-100,-54,-100,-100,-59,-85,-100,-100,-100,-100,0
-100,-74,-100,-58,-100,-100,-59,-100,-100,-100,-100,-100,0
-100,-72,-100,-55,-100,-100,-59,-85,-100,-100,-100,-100,0
-94,-73,-100,-54,-100,-100,-60,-100,-100,-100,-100,-100,0
-100,-70,-100,-54,-100,-100,-62,-89,-100,-100,-100,-100,0
-100,-73,-100,-56,-100,-100,-58,-100,-100,-100,-100,-100,0
-100,-72,-100,-54,-100,-100,-60,-91,-100,-100,-91,-100,0
-100,-71,-100,-52,-100,-100,-60,-91,-100,-100,-100,-100,0
-100,-72,-100,-56,-100,-100,-60,-100,-91,-100,-100,-100,0
-100,-73,-100,-53,-100,-100,-58,-84,-94,-100,-100,-100,0
-94,-70,-100,-51,-100,-100,-58,-100,-95,-100,-100,-100,0
-100,-72,-100,-52,-100,-100,-57,-86,-100,-100,-90,-100,0
-100,-74,-100,-52,-100,-100,-57,-100,-100,-100,-100,-100,0
-100,-73,-100,-53,-100,-100,-57,-85,-100,-100,-100,-100,0
-100,-70,-100,-53,-100,-100,-58,-100,-100,-91,-100,-100,0
-100,-69,-100,-52,-100,-100,-58,-87,-91,-93,-100,-100,0
-100,-73,-100,-54,-100,-100,-59,-100,-100,-100,-100,-100,0
-100,-72,-100,-54,-100,-100,-59,-88,-94,-100,-100,-100,0
-89,-73,-100,-52,-100,-100,-57,-100,-90,-100,-100,-100,0
-100,-69,-100,-51,-100,-100,-60,-88,-93,-91,-100,-100,0
-89,-70,-100,-52,-100,-100,-59,-100,-86,-100,-100,-100,0
-100,-74,-100,-52,-100,-100,-60,-86,-88,-100,-100,-100,0
-100,-70,-100,-51,-100,-100,-61,-87,-91,-100,-100,-100,0
-100,-73,-100,-55,-100,-100,-57,-85,-89,-100,-100,-100,0
-100,-70,-100,-52,-100,-100,-58,-100,-100,-94,-100,-100,0
-100,-72,-100,-52,-100,-100,-58,-89,-96,-100,-100,-100,0
-100,-72,-100,-56,-100,-100,-58,-100,-100,-100,-100,-100,0
-100,-72,-100,-54,-100,-100,-62,-88,-100,-100,-100,-100,0
-100,-73,-100,-54,-100,-100,-61,-89,-100,-100,-100,-100,0
-100,-72,-100,-54,-100,-100,-60,-100,-100,-100,-100,-100,0
-100,-71,-100,-54,-100,-100,-60,-90,-100,-100,-100,-100,0
-100,-72,-100,-52,-100,-100,-59,-100,-100,-100,-100,-100,0
-100,-72,-100,-53,-100,-100,-58,-89,-100,-100,-100,-100,0
-100,-70,-100,-51,-100,-100,-58,-100,-100,-100,-100,-100,0
-100,-70,-100,-52,-100,-100,-60,-88,-92,-100,-100,-100,0
-100,-71,-100,-55,-100,-100,-63,-100,-100,-100,-100,-100,0
-100,-73,-100,-53,-100,-100,-59,-84,-100,-100,-100,-100,0
-100,-72,-100,-52,-100,-100,-58,-100,-100,-100,-100,-100,0
-100,-70,-100,-53,-100,-100,-60,-87,-100,-100,-100,-100,0
-100,-72,-100,-52,-100,-100,-61,-100,-100,-100,-100,-100,0
-100,-70,-100,-50,-100,-100,-57,-87,-90,-100,-100,-100,0
-100,-72,-100,-55,-100,-100,-57,-86,-89,-100,-100,-100,0
-100,-82,-100,-54,-100,-100,-59,-100,-100,-100,-100,-100,0
-100,-69,-100,-50,-100,-100,-58,-87,-100,-100,-100,-100,0
-100,-73,-100,-55,-100,-100,-59,-100,-100,-100,-100,-100,0
-100,-69,-100,-51,-100,-100,-58,-85,-90,-100,-100,-100,0
-100,-70,-100,-55,-100,-100,-59,-100,-100,-100,-100,-100,0
-100,-69,-100,-53,-100,-100,-100,-87,-100,-100,-100,-100,0
-90,-71,-100,-54,-100,-100,-58,-100,-89,-100,-100,-100,0
-94,-69,-100,-53,-100,-100,-60,-86,-100,-100,-91,-100,0
-81,-72,-89,-53,-100,-100,-58,-100,-89,-87,-100,-100,0
-100,-70,-100,-53,-100,-100,-60,-100,-100,-100,-100,-100,0
-100,-70,-100,-53,-100,-100,-61,-88,-92,-100,-100,-100,0
-100,-73,-100,-53,-100,-100,-61,-100,-100,-100,-100,-100,0
-90,-70,-100,-55,-100,-100,-59,-87,-91,-100,-90,-100,0
-100,-71,-93,-53,-100,-100,-62,-100,-100,-100,-100,-100,0
-100,-72,-88,-54,-100,-100,-59,-85,-90,-100,-100,-100,0
-100,-70,-89,-53,-100,-100,-58,-100,-90,-92,-86,-100,0
-100,-70,-100,-54,-100,-100,-60,-100,-100,-100,-100,-100,0
-100,-71,-100,-52,-100,-100,-59,-89,-100,-100,-92,-100,0
-100,-71,-100,-53,-100,-100,-59,-88,-100,-100,-100,-100,0
-100,-100,-100,-53,-100,-100,-60,-100,-89,-87,-100,-100,0
-100,-70,-100,-55,-100,-100,-58,-86,-91,-100,-100,-100,0
-100,-70,-100,-53,-100,-100,-58,-87,-100,-100,-100,-100,0
-100,-70,-100,-55,-100,-100,-58,-90,-100,-100,-100,-100,0
-100,-73,-100,-56,-100,-100,-62,-100,-100,-100,-100,-100,0
-100,-70,-100,-52,-100,-100,-59,-100,-100,-100,-100,-100,0
