Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11,id
-75,-62,-54,-62,-90,-86,1
-80,-62,-54,-60,-92,-87,1
-75,-56,-49,-100,-92,-87,2
-77,-60,-57,-100,-91,-87,2
-74,-56,-53,-100,-91,-87,2
-77,-56,-64,-63,-91,-87,1
-79,-56,-52,-100,-91,-87,2
-77,-57,-54,-100,-93,-88,2
-74,-63,-56,-60,-90,-87,1
-69,-61,-55,-63,-91,-85,1
-72,-63,-54,-61,-91,-86,1
-78,-62,-64,-66,-90,-87,1
-75,-58,-55,-100,-90,-87,1
-74,-64,-55,-64,-88,-86,0
-69,-63,-51,-57,-89,-85,0
-77,-56,-54,-100,-91,-87,2
-76,-62,-57,-62,-90,-87,1
-73,-58,-58,-100,-92,-87,2
-77,-54,-57,-62,-90,-87,1
-72,-57,-57,-100,-89,-87,2
-84,-54,-57,-61,-90,-87,1
-79,-61,-58,-62,-90,-87,1
-81,-56,-53,-100,-94,-89,2
-79,-54,-56,-60,-90,-87,1
-71,-56,-53,-100,-91,-87,2
-73,-56,-65,-100,-95,-87,2
-68,-62,-54,-100,-91,-87,1
-81,-55,-64,-63,-91,-87,1
-75,-62,-56,-61,-87,-89,0
-73,-63,-54,-100,-89,-87,0
-74,-56,-54,-100,-91,-89,2
-75,-56,-60,-100,-87,-82,2
-77,-64,-58,-63,-92,-89,0
-77,-56,-52,-100,-91,-87,2
-77,-62,-59,-62,-90,-87,1
-69,-61,-53,-100,-91,-87,2
-79,-62,-59,-61,-87,-83,1
-73,-58,-53,-100,-91,-91,2
-77,-54,-54,-62,-90,-87,1
-100,-62,-67,-63,-90,-84,1
-72,-58,-59,-100,-91,-87,2
-78,-54,-55,-64,-91,-86,1
-70,-64,-52,-58,-89,-87,0
-72,-63,-54,-60,-89,-89,0
-73,-56,-54,-100,-88,-89,2
-80,-62,-57,-62,-90,-87,1
-74,-63,-53,-64,-89,-85,0
-73,-63,-55,-59,-89,-87,0
-79,-56,-54,-100,-90,-87,2
-73,-63,-52,-61,-93,-88,0
-81,-62,-56,-62,-90,-87,1
-77,-62,-58,-60,-91,-87,1
-74,-62,-51,-64,-88,-88,0
-72,-56,-54,-100,-89,-87,2
-72,-56,-52,-100,-91,-86,2
-75,-58,-59,-100,-91,-90,2
-76,-64,-55,-62,-92,-88,0
-75,-56,-56,-100,-91,-87,2
-86,-56,-55,-100,-91,-90,2
-78,-62,-61,-62,-88,-87,1
-82,-62,-59,-62,-87,-87,1
-71,-63,-54,-59,-89,-87,0
-77,-62,-58,-63,-91,-87,1
-74,-63,-54,-64,-91,-88,0
-83,-62,-57,-64,-90,-87,1
-74,-56,-56,-100,-91,-88,2
-70,-63,-53,-60,-89,-87,0
-80,-62,-57,-61,-90,-87,1
-74,-58,-56,-58,-90,-87,1
-70,-62,-52,-59,-92,-87,0
-74,-64,-53,-64,-89,-86,0
-74,-56,-50,-100,-90,-85,2
-74,-61,-55,-64,-89,-88,0
-76,-56,-52,-100,-90,-88,2
-72,-63,-56,-58,-89,-87,0
-83,-52,-58,-61,-90,-89,1
-74,-64,-55,-64,-89,-91,0
-82,-55,-55,-100,-91,-87,2
-74,-63,-64,-64,-91,-86,0
-77,-54,-50,-100,-91,-89,2
-70,-63,-54,-58,-89,-87,0
-77,-61,-55,-61,-90,-87,1
-82,-65,-58,-100,-91,-89,2
-71,-55,-56,-100,-91,-87,2
-75,-56,-51,-100,-91,-85,2
-80,-56,-48,-100,-93,-88,2
-74,-64,-53,-64,-89,-88,0
-71,-63,-54,-59,-89,-88,0
-76,-63,-54,-61,-92,-84,0
-74,-60,-52,-64,-86,-85,0
-72,-63,-54,-60,-89,-91,0
-71,-63,-53,-58,-90,-87,0
-73,-59,-67,-100,-91,-87,2
-72,-56,-56,-100,-94,-89,2
-76,-51,-57,-60,-90,-87,1
-79,-55,-55,-100,-94,-87,2
-75,-53,-60,-65,-90,-87,1
-85,-57,-52,-100,-91,-84,2
-69,-62,-54,-100,-90,-90,2
-80,-58,-52,-100,-94,-87,2
-76,-64,-57,-61,-90,-87,1
-76,-63,-57,-63,-90,-89,0
-76,-65,-56,-62,-91,-89,0
-100,-56,-52,-100,-91,-87,2
-80,-57,-66,-63,-91,-87,1
-73,-63,-56,-60,-90,-86,1
-81,-62,-56,-62,-90,-85,1
-70,-63,-53,-61,-92,-88,0
-75,-60,-54,-59,-87,-87,1
-74,-62,-53,-64,-89,-89,0
-80,-67,-56,-100,-92,-87,2
-74,-58,-58,-100,-91,-90,2
-72,-63,-54,-100,-90,-87,0
-80,-52,-61,-58,-90,-87,1
-71,-63,-52,-58,-95,-88,0
-79,-62,-57,-60,-89,-87,1
-73,-56,-55,-100,-91,-87,2
-77,-65,-55,-62,-92,-87,1
-74,-62,-52,-64,-89,-88,0
-74,-65,-54,-64,-90,-87,0
