,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,id
0,-88,-69,-90,-54,-67,-73,-68,-85,-92,-91,0
1,-88,-67,-90,-62,-64,-84,-60,-85,-89,-91,0
2,-88,-74,-91,-52,-66,-80,-63,-85,-89,-91,0
3,-88,-87,-90,-53,-58,-73,-64,-85,-89,-91,0
4,-92,-76,-90,-55,-60,-73,-62,-85,-95,-94,0
5,-91,-79,-90,-52,-62,-83,-62,-85,-89,-91,0
6,-88,-74,-90,-53,-63,-79,-63,-85,-89,-91,0
7,-88,-76,-90,-53,-63,-82,-64,-85,-89,-91,0
8,-88,-76,-90,-53,-63,-73,-64,-85,-91,-91,0
9,-88,-77,-90,-53,-62,-73,-64,-85,-89,-91,0
10,-88,-74,-90,-51,-64,-82,-64,-87,-89,-91,0
11,-88,-75,-89,-51,-62,-84,-63,-85,-89,-94,0
12,-88,-77,-93,-54,-63,-73,-63,-85,-91,-91,0
13,-88,-74,-90,-55,-64,-73,-65,-82,-89,-91,0
14,-94,-74,-90,-55,-64,-73,-64,-91,-89,-91,0
15,-88,-74,-90,-56,-65,-73,-64,-85,-89,-91,0
16,-88,-74,-90,-55,-62,-73,-64,-90,-89,-91,0
17,-88,-74,-90,-55,-64,-73,-64,-86,-88,-91,0
18,-88,-74,-90,-53,-61,-73,-64,-85,-89,-92,0
19,-88,-74,-90,-53,-63,-73,-64,-85,-89,-91,0
20,-88,-74,-90,-53,-62,-73,-64,-85,-89,-91,0
21,-90,-74,-90,-48,-62,-73,-64,-90,-94,-91,0
22,-88,-74,-90,-55,-62,-73,-64,-86,-90,-91,0
23,-88,-74,-90,-54,-62,-73,-64,-89,-89,-91,0
24,-88,-74,-90,-53,-63,-73,-64,-85,-90,-87,0
25,-88,-74,-90,-53,-62,-73,-64,-85,-89,-91,0
26,-88,-74,-90,-52,-62,-73,-64,-88,-89,-91,0
27,-88,-74,-90,-50,-63,-73,-64,-87,-90,-91,0
28,-92,-74,-90,-56,-64,-73,-64,-85,-91,-91,0
29,-88,-74,-90,-52,-60,-73,-64,-85,-89,-91,0
30,-88,-74,-90,-52,-60,-73,-64,-85,-86,-91,0
31,-88,-74,-93,-53,-60,-73,-64,-85,-89,-93,0
32,-88,-74,-90,-55,-61,-73,-64,-89,-89,-91,0
33,-88,-74,-90,-52,-61,-73,-64,-88,-89,-91,0
34,-89,-74,-90,-53,-62,-73,-64,-89,-89,-91,0
35,-88,-74,-90,-55,-61,-73,-64,-88,-89,-91,0
36,-88,-74,-90,-54,-61,-73,-64,-85,-89,-91,0
37,-88,-74,-90,-53,-62,-73,-64,-89,-89,-91,0
38,-88,-74,-90,-55,-64,-73,-64,-85,-89,-91,0
39,-88,-74,-90,-51,-62,-73,-64,-88,-88,-91,0
40,-88,-74,-90,-50,-64,-73,-64,-85,-89,-93,0
41,-88,-74,-88,-52,-63,-73,-64,-85,-86,-91,0
42,-88,-74,-89,-54,-63,-73,-64,-85,-89,-91,0
43,-92,-74,-90,-51,-63,-73,-64,-87,-94,-91,0
44,-88,-74,-90,-53,-64,-73,-64,-88,-89,-91,0
45,-88,-74,-90,-53,-61,-73,-64,-85,-89,-91,0
46,-88,-74,-90,-52,-60,-73,-64,-84,-89,-91,0
47,-88,-74,-92,-64,-63,-73,-64,-86,-91,-94,0
48,-88,-74,-89,-53,-63,-73,-64,-85,-90,-91,0
49,-88,-74,-90,-55,-62,-73,-64,-85,-91,-92,0
50,-92,-74,-90,-54,-65,-73,-64,-87,-90,-91,0
51,-88,-74,-90,-55,-65,-73,-64,-82,-89,-91,0
52,-88,-74,-90,-54,-61,-73,-64,-88,-89,-91,0
53,-88,-74,-90,-54,-64,-73,-64,-85,-91,-91,0
54,-88,-74,-91,-55,-61,-73,-64,-85,-89,-91,0
55,-88,-74,-93,-53,-62,-73,-64,-89,-89,-91,0
56,-88,-74,-90,-49,-63,-73,-64,-89,-89,-91,0
57,-88,-74,-95,-53,-64,-73,-64,-86,-89,-91,0
58,-88,-74,-90,-53,-63,-73,-64,-89,-89,-93,0
59,-92,-74,-90,-54,-63,-73,-64,-88,-91,-87,0
60,-88,-74,-90,-53,-60,-73,-64,-87,-89,-91,0
61,-88,-74,-90,-55,-59,-73,-64,-88,-89,-91,0
62,-88,-74,-90,-53,-58,-73,-64,-89,-89,-91,0
63,-88,-74,-90,-55,-62,-73,-64,-91,-89,-91,0
64,-88,-74,-93,-53,-62,-73,-64,-85,-89,-91,0
65,-88,-74,-90,-57,-62,-73,-64,-88,-90,-91,0
66,-88,-74,-90,-58,-61,-73,-64,-92,-89,-91,0
