,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
0,-90,-76,-86,-57,-58,-100,-61,-89,-88,-95,-82,-100,0
1,-96,-74,-86,-55,-60,-100,-64,-89,-92,-95,-82,-100,0
2,-90,-73,-86,-58,-64,-100,-61,-88,-92,-93,-82,-100,0
3,-90,-75,-92,-63,-64,-100,-63,-89,-92,-92,-82,-100,0
4,-90,-77,-86,-56,-65,-100,-61,-89,-92,-93,-82,-100,0
5,-90,-84,-86,-55,-65,-100,-62,-89,-92,-93,-82,-100,0
6,-90,-77,-86,-55,-62,-100,-63,-86,-92,-93,-82,-100,0
7,-90,-76,-86,-57,-63,-100,-61,-89,-92,-93,-82,-100,0
8,-94,-76,-86,-55,-63,-100,-62,-88,-90,-93,-82,-100,0
9,-90,-74,-86,-54,-64,-100,-60,-89,-90,-93,-82,-100,0
10,-90,-74,-94,-55,-63,-100,-62,-84,-91,-93,-82,-100,0
11,-88,-75,-89,-56,-62,-100,-61,-89,-87,-93,-86,-100,0
12,-90,-75,-86,-57,-61,-100,-61,-86,-91,-93,-82,-100,0
13,-90,-76,-86,-58,-65,-100,-62,-89,-92,-93,-82,-100,0
14,-92,-77,-90,-58,-64,-100,-63,-89,-92,-93,-82,-100,0
15,-90,-85,-86,-56,-64,-100,-63,-86,-92,-93,-82,-100,0
16,-90,-84,-86,-54,-63,-100,-64,-89,-92,-89,-82,-100,0
17,-87,-75,-86,-52,-64,-100,-62,-89,-92,-91,-82,-100,0
18,-90,-74,-86,-56,-63,-100,-61,-89,-87,-93,-82,-100,0
19,-90,-76,-86,-56,-63,-100,-61,-89,-92,-93,-82,-100,0
20,-90,-75,-89,-54,-63,-100,-62,-84,-92,-92,-87,-100,0
21,-90,-74,-86,-55,-63,-100,-61,-87,-93,-93,-82,-100,0
22,-90,-100,-86,-56,-63,-100,-62,-86,-92,-93,-91,-100,0
23,-90,-75,-86,-56,-62,-100,-62,-83,-90,-93,-82,-100,0
24,-90,-76,-86,-56,-64,-100,-62,-87,-93,-93,-82,-100,0
25,-90,-76,-86,-55,-64,-100,-62,-89,-92,-93,-82,-100,0
26,-90,-76,-86,-56,-64,-100,-61,-88,-92,-93,-82,-100,0
27,-90,-76,-86,-55,-64,-100,-62,-88,-92,-93,-82,-100,0
28,-90,-76,-86,-56,-65,-100,-62,-89,-91,-90,-82,-100,0
29,-90,-75,-86,-56,-63,-100,-62,-89,-88,-93,-82,-100,0
30,-90,-75,-86,-56,-64,-100,-62,-89,-89,-84,-82,-100,0
