,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6
0,-91,-72,-90,-60,-71,-100,-100,-89,-91,-93,-89,-100
1,-89,-68,-90,-54,-62,-100,-100,-86,-91,-91,-90,-100
2,-91,-75,-89,-56,-61,-100,-100,-88,-91,-91,-91,-100
3,-89,-75,-83,-55,-58,-100,-100,-86,-91,-91,-89,-100
4,-89,-73,-88,-57,-65,-100,-100,-86,-87,-91,-91,-100
5,-91,-72,-90,-55,-66,-100,-100,-86,-91,-91,-89,-100
6,-91,-73,-90,-57,-62,-100,-100,-87,-91,-91,-89,-100
7,-91,-71,-90,-56,-63,-100,-100,-86,-91,-91,-89,-100
8,-91,-70,-90,-56,-64,-100,-63,-86,-91,-91,-89,-100
9,-91,-68,-90,-55,-61,-100,-63,-86,-91,-91,-89,-100
10,-91,-69,-90,-55,-61,-100,-63,-85,-91,-91,-89,-100
11,-91,-72,-90,-56,-61,-100,-63,-87,-90,-91,-89,-100
12,-91,-73,-90,-56,-63,-100,-60,-86,-91,-91,-89,-100
13,-91,-71,-90,-62,-62,-100,-61,-86,-91,-91,-89,-100
14,-91,-70,-90,-57,-65,-100,-61,-90,-91,-91,-89,-100
15,-90,-75,-90,-55,-64,-100,-60,-86,-88,-91,-90,-100
16,-91,-74,-90,-56,-63,-100,-61,-86,-91,-91,-89,-100
17,-91,-75,-90,-57,-57,-100,-62,-87,-93,-91,-90,-100
18,-91,-100,-90,-55,-62,-100,-61,-87,-86,-91,-89,-100
19,-91,-78,-84,-56,-62,-100,-63,-86,-91,-91,-89,-100
20,-91,-72,-90,-57,-61,-100,-61,-86,-89,-91,-83,-100
21,-91,-74,-90,-56,-63,-100,-60,-86,-91,-91,-89,-100
22,-91,-78,-91,-56,-63,-100,-61,-86,-88,-91,-89,-100
23,-91,-82,-90,-56,-63,-100,-61,-87,-91,-91,-89,-100
24,-91,-75,-90,-58,-63,-100,-61,-86,-91,-95,-89,-100
25,-91,-75,-90,-55,-62,-100,-61,-83,-87,-91,-81,-100
26,-90,-73,-94,-56,-61,-100,-61,-86,-93,-91,-85,-100
27,-91,-77,-93,-55,-65,-100,-62,-86,-92,-91,-84,-100
28,-91,-77,-92,-55,-66,-100,-63,-86,-91,-91,-89,-100
29,-89,-72,-90,-54,-63,-100,-61,-86,-91,-91,-88,-100
30,-91,-75,-90,-56,-63,-100,-64,-86,-91,-91,-90,-100
31,-91,-79,-91,-56,-62,-100,-63,-86,-91,-91,-89,-100
32,-91,-74,-90,-55,-62,-100,-61,-86,-91,-91,-89,-100
33,-91,-78,-90,-54,-64,-100,-60,-86,-92,-91,-89,-100
34,-91,-74,-89,-53,-63,-100,-60,-86,-91,-83,-89,-100
35,-91,-75,-90,-53,-63,-100,-61,-86,-91,-91,-89,-100
36,-91,-75,-90,-55,-64,-100,-62,-86,-91,-91,-89,-100
37,-91,-74,-90,-52,-62,-100,-63,-86,-90,-94,-93,-100
38,-91,-75,-89,-56,-63,-100,-72,-86,-90,-91,-89,-100
39,-93,-76,-90,-57,-64,-100,-61,-86,-91,-91,-89,-100
40,-91,-78,-90,-54,-62,-100,-63,-86,-91,-91,-89,-100
41,-91,-75,-90,-55,-68,-100,-60,-86,-91,-91,-89,-100
42,-91,-75,-90,-56,-65,-100,-61,-86,-89,-91,-89,-100
43,-91,-75,-90,-55,-64,-100,-63,-86,-91,-91,-89,-100
44,-91,-100,-90,-56,-62,-100,-62,-86,-92,-91,-93,-100
45,-91,-70,-90,-55,-64,-100,-61,-86,-91,-91,-89,-100
46,-91,-72,-90,-55,-62,-100,-62,-88,-93,-91,-89,-100
47,-91,-78,-90,-54,-60,-100,-60,-87,-91,-91,-89,-100
48,-91,-78,-90,-55,-63,-100,-100,-86,-91,-94,-89,-100
49,-91,-77,-86,-55,-63,-100,-60,-85,-85,-91,-88,-100
50,-91,-80,-91,-54,-62,-100,-60,-86,-92,-92,-88,-100
51,-91,-77,-90,-54,-62,-100,-61,-86,-91,-91,-89,-100
52,-91,-75,-87,-54,-60,-100,-59,-86,-87,-91,-87,-100
53,-91,-76,-90,-53,-61,-100,-61,-86,-91,-91,-89,-100
54,-91,-77,-90,-54,-64,-100,-58,-86,-91,-91,-89,-100
55,-91,-77,-90,-54,-64,-100,-62,-86,-91,-91,-89,-100
56,-91,-74,-90,-56,-58,-100,-58,-86,-91,-95,-89,-100
57,-91,-77,-90,-55,-61,-100,-61,-86,-90,-91,-89,-100
58,-91,-80,-90,-57,-62,-100,-61,-86,-91,-91,-89,-100
59,-91,-75,-90,-57,-62,-100,-62,-86,-91,-91,-89,-100
60,-91,-79,-90,-57,-62,-100,-62,-86,-91,-91,-89,-100
61,-91,-79,-90,-58,-61,-100,-62,-86,-91,-91,-89,-100
62,-91,-78,-90,-56,-61,-100,-61,-86,-91,-95,-89,-100
63,-91,-83,-90,-55,-63,-100,-60,-86,-91,-94,-89,-100
64,-91,-76,-90,-57,-61,-100,-61,-87,-91,-91,-89,-100
65,-91,-78,-90,-58,-60,-100,-62,-86,-91,-91,-89,-100
66,-91,-80,-90,-56,-60,-100,-63,-86,-91,-91,-89,-100
67,-91,-75,-90,-56,-64,-100,-60,-87,-91,-91,-89,-100
68,-85,-82,-86,-56,-62,-100,-60,-86,-85,-91,-79,-100
69,-89,-71,-90,-63,-62,-100,-62,-86,-91,-91,-89,-100
70,-91,-75,-90,-57,-62,-100,-59,-86,-88,-91,-89,-100
71,-91,-78,-90,-64,-62,-100,-66,-86,-91,-91,-89,-100
72,-91,-85,-90,-57,-62,-100,-64,-87,-91,-91,-89,-100
73,-89,-78,-90,-58,-62,-100,-60,-86,-89,-93,-80,-100
74,-89,-75,-87,-57,-62,-100,-63,-86,-91,-91,-89,-100
