Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11
-72,-57,-57,-100,-89,-88
-80,-58,-52,-100,-94,-87
-78,-62,-55,-62,-91,-86
-72,-65,-52,-59,-92,-87
-80,-55,-64,-64,-88,-87
-71,-65,-54,-59,-92,-91
-81,-62,-58,-60,-91,-86
-77,-63,-52,-64,-86,-85
-81,-57,-54,-100,-91,-90
-75,-57,-56,-100,-91,-88
-77,-63,-53,-64,-89,-89
-76,-62,-59,-60,-88,-86
-70,-59,-54,-58,-92,-87
-73,-64,-58,-61,-91,-88
-74,-57,-53,-100,-91,-88
-72,-65,-54,-60,-92,-91
-73,-57,-53,-100,-87,-84
-78,-62,-58,-63,-92,-86
-74,-52,-51,-100,-91,-87
-84,-53,-51,-62,-87,-86
-70,-65,-55,-58,-92,-90
-81,-54,-59,-63,-91,-86
-75,-57,-56,-62,-91,-86
-73,-57,-53,-100,-91,-88
-77,-61,-54,-64,-89,-88
-84,-56,-50,-100,-89,-89
-71,-65,-55,-59,-90,-87
-80,-55,-58,-63,-91,-86
-70,-65,-53,-59,-92,-89
-82,-62,-56,-60,-85,-86
-72,-64,-55,-60,-92,-87
-70,-65,-53,-60,-92,-87
-75,-62,-57,-59,-88,-86
-78,-56,-61,-59,-86,-86
-70,-65,-53,-58,-92,-87
-78,-57,-51,-100,-95,-88
-70,-64,-56,-63,-91,-86
-74,-64,-54,-60,-90,-89
-70,-65,-53,-60,-92,-87
-78,-57,-54,-100,-89,-86
-75,-58,-59,-100,-91,-92
-71,-62,-62,-61,-91,-86
-70,-65,-53,-58,-92,-87
-77,-57,-52,-100,-91,-88
-82,-55,-50,-100,-91,-88
-80,-54,-59,-64,-91,-86
-77,-62,-53,-64,-89,-88
-85,-57,-53,-100,-91,-86
-78,-56,-63,-62,-91,-87
-75,-64,-55,-60,-88,-86
-79,-62,-57,-62,-91,-86
-77,-57,-52,-100,-90,-88
-70,-60,-53,-59,-88,-87
-77,-63,-50,-64,-90,-87
-76,-64,-57,-61,-91,-86
-71,-65,-54,-59,-92,-87
-80,-60,-56,-63,-91,-86
-77,-62,-63,-64,-91,-89
-77,-63,-49,-64,-89,-89
-74,-54,-52,-100,-89,-88
-75,-64,-56,-60,-91,-89
-71,-64,-54,-60,-93,-89
-88,-57,-49,-100,-91,-88
-70,-64,-55,-61,-91,-86
-79,-62,-59,-61,-87,-83
-72,-57,-56,-100,-94,-89
-74,-57,-57,-100,-93,-88
-80,-57,-55,-100,-91,-88
-85,-62,-57,-64,-91,-87
-83,-52,-58,-61,-91,-89
-79,-62,-57,-60,-89,-86
-77,-58,-53,-64,-89,-89
-77,-63,-54,-64,-91,-88
-73,-63,-56,-60,-91,-86
-71,-65,-53,-58,-90,-87
-75,-64,-56,-62,-89,-89
-78,-54,-59,-61,-91,-86
-79,-62,-52,-62,-89,-88
-100,-64,-55,-62,-91,-83
-75,-63,-56,-72,-90,-86
-77,-65,-57,-62,-91,-89
-76,-51,-57,-60,-91,-86
-84,-64,-55,-62,-91,-89
