Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,id
-88,-69,-100,-54,-67,-73,-68,-100,-92,-91,0
-100,-67,-100,-62,-64,-84,-60,-100,-100,-100,0
-88,-74,-91,-52,-66,-80,-63,-100,-100,-100,0
-100,-87,-100,-53,-58,-100,-64,-100,-100,-100,0
-92,-76,-100,-55,-60,-100,-62,-100,-95,-94,0
-91,-79,-100,-52,-62,-83,-62,-100,-100,-100,0
-100,-74,-100,-53,-63,-79,-63,-85,-100,-100,0
-100,-76,-100,-53,-63,-82,-64,-100,-100,-91,0
-88,-76,-100,-53,-63,-100,-64,-100,-91,-100,0
-100,-77,-100,-53,-62,-100,-64,-100,-100,-100,0
-100,-74,-100,-51,-64,-82,-64,-87,-100,-100,0
-100,-75,-89,-51,-62,-84,-63,-100,-100,-94,0
-100,-77,-93,-54,-63,-100,-63,-100,-91,-100,0
-100,-100,-100,-55,-64,-100,-65,-82,-100,-100,0
-94,-100,-100,-55,-64,-100,-100,-91,-100,-100,0
-100,-100,-100,-56,-65,-100,-100,-100,-100,-100,0
-100,-100,-100,-55,-62,-100,-100,-90,-100,-100,0
-100,-100,-100,-55,-64,-100,-100,-86,-88,-100,0
-100,-100,-100,-53,-61,-100,-100,-100,-100,-92,0
-100,-100,-100,-53,-63,-100,-100,-100,-89,-100,0
-100,-100,-100,-53,-62,-100,-100,-85,-100,-100,0
-90,-100,-100,-48,-62,-100,-100,-90,-94,-100,0
-100,-100,-100,-55,-62,-100,-100,-86,-90,-100,0
-100,-100,-100,-54,-62,-100,-100,-89,-100,-100,0
-100,-100,-100,-53,-63,-100,-100,-100,-90,-87,0
-100,-100,-100,-53,-62,-100,-100,-100,-100,-100,0
-100,-100,-100,-52,-62,-100,-100,-88,-100,-100,0
-100,-100,-100,-50,-63,-100,-100,-87,-90,-100,0
-92,-100,-100,-56,-64,-100,-100,-100,-91,-100,0
-88,-100,-100,-52,-60,-100,-100,-85,-89,-100,0
-100,-100,-100,-52,-60,-100,-100,-100,-86,-100,0
-100,-100,-93,-53,-60,-100,-100,-100,-100,-93,0
-100,-100,-100,-55,-61,-100,-100,-89,-100,-100,0
-100,-100,-100,-52,-61,-100,-100,-88,-100,-91,0
-89,-100,-100,-53,-62,-100,-100,-89,-100,-100,0
-100,-100,-100,-55,-61,-100,-100,-88,-100,-100,0
-100,-100,-100,-54,-61,-100,-100,-100,-100,-100,0
-100,-100,-100,-53,-62,-100,-100,-89,-100,-100,0
-100,-100,-100,-55,-64,-100,-100,-100,-100,-100,0
-100,-100,-100,-51,-62,-100,-100,-88,-88,-100,0
-100,-100,-90,-50,-64,-100,-100,-100,-100,-93,0
-100,-100,-88,-52,-63,-100,-100,-85,-86,-100,0
-100,-100,-89,-54,-63,-100,-100,-100,-89,-100,0
-92,-100,-100,-51,-63,-100,-100,-87,-94,-100,0
-100,-100,-100,-53,-64,-100,-100,-88,-100,-100,0
-100,-100,-100,-53,-61,-100,-100,-100,-100,-100,0
-100,-100,-100,-52,-60,-100,-100,-84,-100,-100,0
-100,-100,-92,-64,-63,-100,-100,-86,-91,-94,0
-100,-100,-89,-53,-63,-100,-100,-85,-90,-100,0
-100,-100,-100,-55,-62,-100,-100,-100,-91,-92,0
-92,-100,-100,-54,-65,-100,-100,-87,-90,-100,0
-100,-100,-100,-55,-65,-100,-100,-82,-100,-100,0
-100,-100,-100,-54,-61,-100,-100,-88,-100,-100,0
-100,-100,-100,-54,-64,-100,-100,-100,-91,-100,0
-100,-100,-91,-55,-61,-100,-100,-100,-100,-100,0
-100,-100,-93,-53,-62,-100,-100,-89,-100,-100,0
-100,-100,-90,-49,-63,-100,-100,-89,-100,-100,0
-100,-100,-95,-53,-64,-100,-100,-86,-100,-100,0
-100,-100,-100,-53,-63,-100,-100,-89,-100,-93,0
-92,-100,-100,-54,-63,-100,-100,-88,-91,-87,0
-100,-100,-100,-53,-60,-100,-100,-87,-100,-100,0
-100,-100,-100,-55,-59,-100,-100,-88,-100,-100,0
-100,-100,-100,-53,-58,-100,-100,-89,-100,-100,0
-100,-100,-100,-55,-62,-100,-100,-91,-100,-100,0
-100,-100,-93,-53,-62,-100,-100,-100,-100,-100,0
-100,-100,-100,-57,-62,-100,-100,-88,-90,-100,0
-100,-100,-100,-58,-61,-100,-100,-92,-100,-100,0
