Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
-90,-76,-100,-54,-50,-100,-100,-100,-91,-100,-100,-100,2
-100,-72,-100,-53,-46,-100,-100,-88,-88,-100,-100,-100,2
-100,-74,-100,-53,-53,-100,-100,-89,-93,-100,-100,-100,2
-100,-76,-100,-51,-58,-100,-100,-83,-88,-90,-100,-100,2
-88,-74,-100,-52,-54,-100,-100,-100,-89,-100,-100,-100,2
-100,-74,-100,-51,-52,-100,-100,-87,-100,-100,-92,-100,2
-100,-75,-100,-54,-53,-100,-100,-100,-88,-100,-100,-100,2
-100,-85,-100,-52,-57,-100,-100,-84,-100,-100,-100,-100,2
-100,-73,-100,-54,-55,-100,-100,-86,-100,-100,-100,-100,2
-100,-76,-100,-53,-56,-100,-100,-100,-100,-100,-100,-100,2
-100,-79,-100,-54,-59,-100,-100,-100,-100,-100,-100,-100,2
-100,-77,-100,-50,-54,-100,-100,-89,-100,-100,-100,-100,2
-92,-79,-100,-55,-55,-100,-100,-100,-94,-100,-100,-100,2
-100,-80,-100,-52,-58,-100,-100,-87,-94,-100,-89,-100,2
-100,-86,-100,-54,-57,-100,-100,-89,-100,-100,-100,-100,2
-100,-77,-100,-54,-57,-100,-100,-88,-93,-100,-100,-100,2
-100,-80,-92,-56,-67,-100,-100,-100,-92,-100,-100,-100,2
-100,-77,-100,-52,-56,-100,-100,-87,-93,-100,-100,-100,2
-92,-74,-100,-52,-56,-100,-100,-100,-91,-100,-100,-100,2
-100,-73,-100,-55,-56,-100,-100,-85,-87,-100,-100,-100,2
-100,-89,-100,-52,-56,-100,-100,-87,-91,-100,-100,-100,2
-92,-80,-100,-53,-68,-100,-100,-87,-92,-100,-100,-100,2
-100,-84,-100,-50,-56,-100,-100,-89,-89,-100,-100,-100,2
-81,-72,-91,-54,-60,-100,-100,-100,-90,-100,-100,-100,2
-100,-100,-100,-54,-56,-100,-100,-85,-87,-100,-100,-100,2
-100,-80,-100,-53,-62,-100,-100,-87,-91,-100,-100,-100,2
-100,-78,-100,-54,-100,-100,-100,-86,-89,-100,-100,-100,2
-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-79,-90,-53,-100,-100,-100,-100,-89,-100,-100,-100,2
-100,-72,-100,-51,-100,-100,-100,-85,-100,-100,-100,-100,2
-100,-77,-100,-53,-100,-100,-100,-87,-92,-100,-100,-100,2
-92,-73,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-82,-100,-52,-100,-100,-100,-87,-100,-100,-100,-100,2
-100,-79,-100,-54,-100,-100,-100,-89,-100,-100,-100,-100,2
-100,-85,-100,-53,-100,-100,-100,-86,-100,-100,-100,-100,2
-100,-81,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,2
-90,-75,-100,-52,-100,-100,-100,-100,-91,-100,-89,-100,2
-100,-77,-100,-52,-100,-100,-100,-88,-90,-100,-89,-100,2
-100,-86,-100,-51,-100,-100,-100,-88,-90,-100,-100,-100,2
-100,-72,-100,-52,-100,-100,-100,-86,-100,-100,-100,-100,2
-91,-75,-87,-55,-100,-100,-100,-100,-89,-100,-87,-100,2
-100,-75,-100,-52,-100,-100,-100,-86,-91,-100,-100,-100,2
-100,-72,-100,-52,-100,-100,-100,-100,-91,-100,-100,-100,2
-84,-83,-100,-52,-100,-100,-100,-100,-84,-100,-100,-100,2
-100,-75,-100,-50,-100,-100,-100,-84,-100,-100,-100,-100,2
-100,-100,-92,-52,-100,-100,-100,-100,-91,-100,-100,-100,2
-100,-76,-100,-51,-100,-100,-100,-85,-89,-100,-100,-100,2
-100,-84,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-85,-100,-49,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-76,-100,-47,-100,-100,-100,-85,-92,-100,-89,-100,2
-100,-81,-100,-48,-100,-100,-100,-87,-92,-100,-94,-100,2
-100,-70,-100,-48,-100,-100,-100,-87,-100,-100,-100,-100,2
-89,-79,-100,-45,-100,-100,-100,-84,-91,-100,-87,-100,2
-100,-77,-100,-47,-100,-100,-100,-87,-100,-100,-100,-100,2
-100,-78,-100,-51,-100,-100,-100,-88,-95,-100,-100,-100,2
-100,-88,-100,-49,-100,-100,-100,-100,-100,-100,-100,-100,2
-89,-79,-89,-49,-100,-100,-100,-100,-88,-100,-88,-100,2
-100,-74,-100,-48,-100,-100,-100,-82,-87,-100,-100,-100,2
-100,-80,-100,-48,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-77,-100,-49,-100,-100,-100,-100,-92,-100,-100,-100,2
