UoM_Wireless1,UoM_Wireless6,Chamidi11,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,IsuruAp6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
-89,-100,-70,-100,-63,-100,-66,-100,-100,-100,-100,-100,-100,-100,-87,2
-100,-100,-100,-91,-71,-100,-62,-100,-100,-100,,-100,-100,-100,-100,2
-94,-100,-72,-100,-55,-100,-59,-100,-100,-100,,-100,-100,-100,-86,2
-100,-100,-100,-100,-65,-100,-60,-100,-100,-100,,-100,-100,-100,-87,2
-86,-100,-72,-86,-68,-100,-58,-100,-82,-100,,-100,-100,-100,-90,2
-91,-100,-75,-84,-67,-86,-59,-100,-86,-100,,-100,-100,-100,-100,2
-91,-100,-73,-90,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-89,-100,-71,-100,-66,-100,-100,-100,-100,-100,,-100,-100,-100,-85,2
-100,-100,-71,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-83,-100,-68,-89,-100,-100,-100,-100,,-100,-100,-100,-100,2
-92,-100,-66,-100,-69,-90,-100,-100,-100,-100,,-100,-100,-100,-100,2
-92,-100,-69,-100,-68,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-93,-100,-100,-100,-67,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-71,-100,-68,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-92,-100,-100,-89,-66,-91,-100,-100,-83,-100,,-100,-100,-100,-100,2
-93,-100,-73,-100,-67,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-93,-100,-100,-100,-69,-100,-100,-100,-94,-100,,-100,-100,-100,-100,2
-100,-100,-71,-90,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-89,-100,-100,-100,-71,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-91,-100,-75,-100,-69,-93,-100,-100,-100,-100,,-100,-100,-100,-100,2
-97,-100,-70,-100,-66,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-93,-100,-100,-100,-66,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-91,-100,-83,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-88,-100,-69,-91,-66,-100,-100,-100,-89,-100,,-100,-100,-100,-100,2
-94,-100,-72,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-92,-100,-69,-100,-71,-100,-100,-100,-89,-100,,-100,-100,-100,-100,2
-100,-100,-66,-100,-61,-100,-100,-100,-100,-100,,-100,-100,-100,-88,2
-100,-100,-67,-92,-63,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-91,-100,-64,-100,-77,-100,-100,-100,-100,-100,,-100,-100,-100,-87,2
-88,-100,-72,-100,-75,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-93,-100,-69,-100,-72,-100,-100,-100,-87,-100,,-100,-100,-100,-88,2
-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,,-100,-100,-100,-88,2
-96,-100,-70,-100,-71,-100,-100,-100,-95,-100,,-100,-100,-100,-100,2
-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,,-100,-100,-100,-88,2
-92,-100,-73,-100,-71,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
